segment_type,segment_value,listing_count,empirical_coverage,average_interval_width,median_interval_width,mae,median_absolute_error,potentially_underpriced_count,potentially_overpriced_count,nominal_coverage,coverage_gap,underpriced_rate,overpriced_rate
type,mini-van,604,0.9635761589403974,12416.795728631228,13324.220774960635,2064.375535334378,1072.5046303772033,6,16,0.9,0.06357615894039736,0.009933774834437087,0.026490066225165563
state,hi,353,0.7932011331444759,13462.83027408541,13963.332709090158,5905.03544450736,2673.280776086911,16,57,0.9,-0.10679886685552409,0.0453257790368272,0.16147308781869688
state,ga,824,0.8191747572815534,13363.259762061884,13963.332709090158,4007.3984333715907,2293.712019910832,91,58,0.9,-0.0808252427184466,0.1104368932038835,0.0703883495145631
state,ak,113,0.8230088495575221,13151.821176465886,13963.332709090158,4755.116853954949,2271.924596251156,7,13,0.9,-0.07699115044247795,0.061946902654867256,0.11504424778761062
state,or,2637,0.8304891922639362,13487.662838453483,13963.332709090158,5651.773242485781,2282.2125549260527,204,243,0.9,-0.06951080773606377,0.07736063708759955,0.09215017064846416
state,tx,3103,0.8346761198839833,13366.277577946015,13963.332709090158,4146.499769000784,2246.821790629203,252,261,0.9,-0.06532388011601675,0.08121173058330648,0.08411214953271028
state,wa,2517,0.8406833531982519,13300.820168670016,13963.332709090158,4702.304179166442,2323.5395604703845,113,288,0.9,-0.059316646801748085,0.04489471593166468,0.11442193087008343
state,id,995,0.8502512562814071,13564.514664431641,13963.332709090158,4607.993769331791,1982.1769930768987,84,65,0.9,-0.04974874371859295,0.08442211055276382,0.06532663316582915
state,mt,329,0.8541033434650456,13159.325295945564,13963.332709090158,3933.5376871307776,2082.418758763648,13,35,0.9,-0.04589665653495445,0.03951367781155015,0.10638297872340426
state,fl,2437,0.8563807960607304,13143.011816963826,13963.332709090158,3833.834761534953,2090.4905723719385,163,187,0.9,-0.04361920393926966,0.06688551497743127,0.07673368896183833
state,nh,291,0.8591065292096219,12987.539801501838,13963.332709090158,3436.3442630641975,1585.191826703296,18,23,0.9,-0.040893470790378084,0.061855670103092786,0.07903780068728522
state,az,1830,0.8612021857923498,13499.086856135831,13963.332709090158,3766.2141361367603,2145.9299153037546,110,144,0.9,-0.03879781420765027,0.060109289617486336,0.07868852459016394
state,ks,474,0.869198312236287,13031.129984095967,13963.332709090158,3384.0023158637523,2040.4271027561508,20,42,0.9,-0.03080168776371306,0.04219409282700422,0.08860759493670886
state,nm,390,0.8692307692307693,13336.763953914899,13963.332709090158,3958.1043924813043,2173.662569428975,17,34,0.9,-0.03076923076923077,0.04358974358974359,0.08717948717948718
state,ca,6993,0.8768768768768769,13319.322720848115,13963.332709090158,3729.4319134249545,1966.3851277416325,300,561,0.9,-0.023123123123123146,0.0429000429000429,0.08022308022308022
state,md,287,0.8780487804878049,12931.533142563147,13963.332709090158,3853.631802247473,1443.020506639994,5,30,0.9,-0.02195121951219514,0.017421602787456445,0.10452961672473868
state,ok,349,0.8796561604584527,13386.145345800658,13963.332709090158,3395.636785473616,1880.6664922433777,17,25,0.9,-0.02034383954154728,0.04871060171919771,0.07163323782234957
state,ky,156,0.8846153846153846,12916.035744546443,13963.332709090158,3251.8409538885608,1946.654715437513,7,11,0.9,-0.015384615384615441,0.04487179487179487,0.07051282051282051
state,ne,131,0.8854961832061069,13344.822274438873,13963.332709090158,3667.6269849069604,2161.6477410239695,7,8,0.9,-0.01450381679389312,0.05343511450381679,0.061068702290076333
state,nc,962,0.8918918918918919,13115.137530450083,13963.332709090158,3480.6343762264987,1758.9005991339955,42,62,0.9,-0.008108108108108136,0.04365904365904366,0.06444906444906445
state,me,196,0.8928571428571429,12931.008225183017,13963.332709090158,2868.5766262915477,1301.6415375323031,5,16,0.9,-0.0071428571428571175,0.025510204081632654,0.08163265306122448
state,sc,308,0.8961038961038961,13083.312851762308,13963.332709090158,3233.7925124447825,1765.16849134334,6,26,0.9,-0.003896103896103953,0.01948051948051948,0.08441558441558442
state,co,1573,0.8963763509218055,13362.894477815527,13963.332709090158,3283.44114285731,1878.0467698044597,53,110,0.9,-0.0036236490781945685,0.033693579148124604,0.06993006993006994
state,nj,728,0.8983516483516484,12846.587352151328,13963.332709090158,2910.2756328770133,1366.7113126901959,38,36,0.9,-0.0016483516483516425,0.0521978021978022,0.04945054945054945
state,la,158,0.8987341772151899,13089.599859725944,13963.332709090158,3400.6307958864027,1867.6741187993302,4,12,0.9,-0.0012658227848101333,0.02531645569620253,0.0759493670886076
state,il,1106,0.8996383363471971,13037.651341266246,13963.332709090158,3127.3345460286378,1807.061665155179,61,50,0.9,-0.0003616636528028794,0.05515370705244123,0.045207956600361664
state,ny,1757,0.9049516220830962,12976.351814726628,13963.332709090158,3105.677935485292,1582.673444147731,70,97,0.9,0.0049516220830961855,0.0398406374501992,0.05520774046670461
